Role,Permission,Expected,Actual,Delta,Classification,Evidence
ADMIN,account.booking.read_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,catalog.service_unit.publish,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,communication.create,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,communication.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,communication.read_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,communication.write_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.activity.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.company.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.contact.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.customer.create_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.customer.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.customer.read_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.customer.update_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.customer.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.partner.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.partner.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,crm.supplier.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,dashboard.attention.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,dashboard.catalog.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,dashboard.channels.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,dashboard.customize,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,dashboard.executive.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,dashboard.financial.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,dashboard.insights.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,dashboard.marketplace.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,dashboard.operational.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,documents.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,documents.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.commission.manage,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.commission.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.commission.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.currency.manage,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.dispute.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.dispute.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.exchange_rate.manage,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.invoice.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.invoice.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.ledger.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.payment.create,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.payment.manage,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.payment.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.payment.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.payout.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.provider_fee.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.refund.approve,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.refund.execute,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.refund.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.refund.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.settlement.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,finance.tax.manage,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,marketing.attribution.manage,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,marketing.attribution.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,marketing.audience.manage,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,marketing.audience.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,marketing.campaign.create,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,marketing.campaign.delete,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,marketing.campaign.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,marketing.campaign.update,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,marketing.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,moderation.approve,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,moderation.reject,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,moderation.request_changes,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,moderation.review,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,operational-notes.create,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,operational-notes.delete,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,operational-notes.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,operational-notes.update,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,order.accept,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,order.cancel,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,order.close,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,order.edit_noncritical,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,order.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,order.request_booking,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,order.suspend,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,partner.onboarding.read_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,partner.onboarding.review,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,partner.onboarding.submit_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,partner.onboarding.update_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,reports.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,reverse.capability.read_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,reverse.capability.write_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,reverse.distribution.read_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,reverse.match.run,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,reverse.proposal.read_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,reverse.proposal.select_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,reverse.proposal.write_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,reverse.request.read_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,reverse.request.write_own,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.checkout.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.checkout.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.kpi.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.lead.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.lead.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.opportunity.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.opportunity.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.quote.approve,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.quote.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.quote.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.sale.complete,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.sale.read,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,sales.sale.write,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
ADMIN,seller_public_profile.approve_alias,GRANT,GRANT,NONE,MATCH,RBAC-parity oracle: ROLE_PERMISSIONS[code] == DB RolePermission (migration-built + dev verified); runtime via SecurityService.permissionsOf(DB)
